,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,has_availability,predictions
20852,Brooklyn,Williamsburg,Entire home/apt,100,1,2,0.05,1,0,no,87
20853,Brooklyn,Bushwick,Private room,43,2,39,2.31,2,0,no,29
20854,Manhattan,Harlem,Entire home/apt,190,2,46,1.17,1,323,yes,192
20855,Queens,Other,Private room,75,1,14,5.83,3,88,yes,72
20856,Manhattan,Hell's Kitchen,Entire home/apt,244,3,0,,1,167,yes,229
20857,Manhattan,Chelsea,Entire home/apt,179,3,27,2.06,1,54,yes,171
20858,Brooklyn,Bushwick,Entire home/apt,174,3,198,3.7,2,269,yes,178
20859,Manhattan,Other,Entire home/apt,375,3,18,0.21,1,0,no,380
20860,Brooklyn,Bedford-Stuyvesant,Private room,43,30,0,,5,221,yes,50
20861,Brooklyn,Bushwick,Private room,58,1,236,3.45,3,350,yes,62
20862,Brooklyn,Other,Entire home/apt,105,2,61,2.72,1,239,yes,105
20863,Manhattan,Chelsea,Entire home/apt,154,2,23,0.62,1,4,yes,142
20864,Brooklyn,Other,Private room,60,1,0,,4,353,yes,56
20865,Brooklyn,Williamsburg,Entire home/apt,125,2,3,0.16,1,0,no,113
20866,Brooklyn,Other,Entire home/apt,93,3,52,0.99,1,325,yes,90
20867,Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,2,90,3.73,1,202,yes,98
20868,Brooklyn,Bushwick,Entire home/apt,380,3,75,1.94,1,290,yes,373
20869,Brooklyn,Bushwick,Entire home/apt,69,10,11,0.27,1,226,yes,64
20870,Brooklyn,Bushwick,Entire home/apt,99,3,126,3.93,1,46,yes,106
20871,Manhattan,Other,Entire home/apt,300,1,8,2.96,1,192,yes,307
20872,Brooklyn,Bedford-Stuyvesant,Private room,45,1,1,0.03,1,0,no,28
20873,Brooklyn,Other,Entire home/apt,180,2,97,1.83,1,24,yes,193
20874,Manhattan,Harlem,Private room,95,3,70,1.38,1,117,yes,73
20875,Brooklyn,Williamsburg,Private room,65,1,122,4.82,2,11,yes,77
20876,Manhattan,Upper West Side,Private room,65,1,2,0.04,1,0,no,67
20877,Bronx,Other,Private room,80,2,77,2.37,2,365,yes,76
20878,Bronx,Other,Entire home/apt,120,2,26,0.85,1,260,yes,116
20879,Brooklyn,Fort Greene,Entire home/apt,130,5,1,0.05,1,2,yes,125
20880,Queens,Long Island City,Private room,89,1,0,,8,321,yes,91
20881,Brooklyn,Williamsburg,Entire home/apt,150,5,0,,1,0,no,150
20882,Manhattan,Hell's Kitchen,Private room,350,3,28,1.11,1,76,yes,355
20883,Manhattan,Other,Private room,55,1,8,0.33,1,0,no,51
20884,Brooklyn,Bushwick,Private room,75,1,1,0.02,1,0,no,86
20885,Queens,Other,Private room,48,1,35,3.79,5,79,yes,42
20886,Manhattan,East Village,Private room,150,1,133,7.19,1,14,yes,143
20887,Brooklyn,Bedford-Stuyvesant,Entire home/apt,140,6,0,,1,252,yes,120
20888,Brooklyn,Williamsburg,Private room,75,1,3,0.37,1,0,no,60
20889,Manhattan,Harlem,Entire home/apt,140,2,34,0.93,1,0,no,139
20890,Brooklyn,Williamsburg,Private room,80,1,0,,1,0,no,98
20891,Manhattan,Harlem,Private room,90,1,1,1.0,3,179,yes,90
20892,Brooklyn,Bedford-Stuyvesant,Entire home/apt,85,2,133,3.25,1,34,yes,84
20893,Brooklyn,Bedford-Stuyvesant,Private room,55,3,0,,1,0,no,49
20894,Manhattan,Other,Entire home/apt,144,3,0,,1,0,no,145
20895,Queens,Astoria,Entire home/apt,105,30,25,2.54,5,235,yes,96
20896,Manhattan,Washington Heights,Private room,90,1,0,,2,179,yes,101
20897,Brooklyn,Williamsburg,Private room,100,3,8,0.69,2,0,no,78
20898,Manhattan,Midtown,Entire home/apt,248,3,2,0.11,1,0,no,249
20899,Brooklyn,Other,Entire home/apt,120,3,13,1.09,1,9,yes,120
20900,Staten Island,Other,Shared room,95,3,0,,7,37,yes,92
20901,Manhattan,Other,Entire home/apt,189,2,1,1.0,1,69,yes,185
20902,Manhattan,Upper East Side,Entire home/apt,118,30,3,0.06,29,326,yes,113
20903,Brooklyn,Williamsburg,Entire home/apt,169,4,33,0.54,1,0,no,163
20904,Queens,Astoria,Private room,50,1,1,0.02,1,0,no,55
20905,Manhattan,Harlem,Private room,100,1,4,1.6,9,275,yes,114
20906,Brooklyn,Crown Heights,Entire home/apt,85,1,1,0.08,2,99,yes,89
20907,Queens,Other,Private room,34,30,0,,23,324,yes,39
20908,Brooklyn,Other,Entire home/apt,380,4,7,0.12,1,62,yes,381
20909,Manhattan,Upper West Side,Private room,145,2,1,0.11,1,180,yes,145
20910,Manhattan,Upper West Side,Shared room,50,1,0,,1,0,no,29
20911,Brooklyn,Bedford-Stuyvesant,Entire home/apt,227,1,17,0.31,1,362,yes,229
20912,Manhattan,East Harlem,Private room,50,2,4,1.56,1,35,yes,32
20913,Queens,Other,Private room,75,1,114,2.45,3,328,yes,81
20914,Brooklyn,Fort Greene,Private room,69,2,12,0.18,1,6,yes,71
20915,Manhattan,Upper West Side,Entire home/apt,250,3,1,0.09,1,0,no,252
20916,Manhattan,East Village,Entire home/apt,400,3,3,0.36,1,14,yes,390
20917,Brooklyn,Other,Entire home/apt,150,2,2,0.11,1,0,no,177
20918,Brooklyn,Park Slope,Entire home/apt,125,3,22,0.72,2,0,no,126
20919,Manhattan,Other,Private room,138,2,41,1.9,1,66,yes,143
20920,Manhattan,Harlem,Entire home/apt,90,30,1,0.67,1,209,yes,102
20921,Brooklyn,Bedford-Stuyvesant,Private room,60,1,4,4.0,2,173,yes,58
20922,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,88,0.73,2,233,yes,103
20923,Brooklyn,Other,Entire home/apt,120,5,0,,3,23,yes,105
20924,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,1,0,,1,0,no,100
20925,Queens,Other,Private room,98,1,106,4.54,5,123,yes,94
20926,Manhattan,Upper East Side,Entire home/apt,200,3,47,0.95,1,0,no,197
20927,Queens,Astoria,Entire home/apt,150,1,7,3.18,1,25,yes,159
20928,Brooklyn,Crown Heights,Private room,100,1,0,,2,83,yes,76
20929,Manhattan,Washington Heights,Private room,50,2,3,0.1,1,0,no,56
20930,Brooklyn,Bedford-Stuyvesant,Private room,42,2,89,5.54,2,4,yes,48
20931,Manhattan,Other,Entire home/apt,240,2,4,1.06,327,99,yes,254
20932,Brooklyn,Flatbush,Private room,36,6,1,0.03,1,0,no,41
20933,Manhattan,Washington Heights,Private room,45,1,2,0.05,1,0,no,43
20934,Brooklyn,Bushwick,Private room,50,7,1,1.0,1,310,yes,59
20935,Manhattan,Lower East Side,Entire home/apt,140,1,14,4.2,1,9,yes,136
20936,Manhattan,Harlem,Private room,54,2,6,0.31,3,5,yes,54
20937,Queens,Other,Private room,149,1,56,1.14,5,361,yes,147
20938,Brooklyn,Williamsburg,Entire home/apt,80,1,0,,2,2,yes,75
20939,Brooklyn,Other,Entire home/apt,275,4,19,0.28,2,205,yes,285
20940,Brooklyn,East Flatbush,Private room,75,1,10,3.19,4,365,yes,64
20941,Manhattan,Lower East Side,Entire home/apt,700,2,0,,2,338,yes,690
20942,Brooklyn,Other,Entire home/apt,119,1,1,0.02,1,0,no,116
20943,Brooklyn,Bedford-Stuyvesant,Private room,42,30,0,,27,332,yes,36
20944,Queens,Other,Private room,40,30,1,0.28,103,247,yes,54
20945,Manhattan,Hell's Kitchen,Entire home/apt,180,3,17,3.75,1,281,yes,170
20946,Manhattan,Upper West Side,Private room,89,4,1,0.04,1,0,no,89
20947,Manhattan,Other,Entire home/apt,188,30,3,0.2,1,0,no,203
20948,Brooklyn,Other,Entire home/apt,300,5,1,0.02,1,15,yes,296
20949,Manhattan,Upper West Side,Private room,120,1,5,0.06,2,0,no,135
20950,Manhattan,West Village,Entire home/apt,210,5,53,2.27,1,148,yes,208
20951,Staten Island,Other,Entire home/apt,249,4,9,0.8,2,351,yes,264
20952,Brooklyn,Other,Entire home/apt,200,1,3,0.06,1,0,no,210
20953,Manhattan,Other,Entire home/apt,500,3,3,0.05,1,0,no,494
20954,Queens,Other,Private room,50,1,2,0.07,1,0,no,55
20955,Manhattan,Other,Entire home/apt,175,2,1,0.05,1,3,yes,159
20956,Manhattan,Lower East Side,Entire home/apt,160,14,3,2.14,1,288,yes,140
20957,Manhattan,Upper West Side,Entire home/apt,285,1,9,5.09,1,229,yes,292
20958,Queens,Other,Private room,47,3,92,3.4,10,172,yes,40
20959,Manhattan,Upper East Side,Entire home/apt,130,4,0,,1,0,no,133
20960,Brooklyn,Prospect-Lefferts Gardens,Shared room,47,2,10,0.93,1,0,no,47
20961,Queens,Other,Private room,50,1,11,3.79,9,342,yes,54
20962,Manhattan,Other,Private room,85,2,52,0.91,2,329,yes,87
20963,Brooklyn,Greenpoint,Private room,70,7,3,0.06,1,0,no,66
20964,Brooklyn,Other,Private room,100,1,26,2.27,1,131,yes,94
20965,Manhattan,Harlem,Entire home/apt,280,4,97,1.25,2,48,yes,271
20966,Brooklyn,Williamsburg,Private room,41,4,14,0.37,2,0,no,60
20967,Queens,Astoria,Entire home/apt,109,14,1,1.0,2,52,yes,103
20968,Queens,Astoria,Private room,95,1,0,,1,355,yes,95
20969,Brooklyn,Bedford-Stuyvesant,Private room,69,2,6,4.62,4,279,yes,80
20970,Manhattan,Harlem,Private room,57,3,17,0.38,8,341,yes,63
20971,Manhattan,Lower East Side,Entire home/apt,228,1,1,0.03,1,0,no,226
20972,Brooklyn,Park Slope,Entire home/apt,160,2,5,0.66,1,2,yes,149
20973,Manhattan,Upper West Side,Private room,58,30,0,,32,317,yes,60
20974,Manhattan,Washington Heights,Private room,80,3,112,2.29,1,144,yes,80
20975,Queens,Long Island City,Private room,55,1,5,0.1,1,0,no,54
20976,Manhattan,East Harlem,Private room,80,1,47,3.41,3,178,yes,80
20977,Brooklyn,Bushwick,Private room,45,1,4,0.09,1,0,no,40
20978,Manhattan,Hell's Kitchen,Entire home/apt,250,3,26,0.51,1,96,yes,247
20979,Manhattan,Upper East Side,Entire home/apt,99,3,10,0.86,1,7,yes,98
20980,Brooklyn,Greenpoint,Private room,140,2,0,,1,0,no,126
20981,Queens,Other,Entire home/apt,88,1,0,,2,50,yes,108
20982,Queens,Other,Private room,90,1,36,0.99,8,346,yes,110
20983,Manhattan,Washington Heights,Private room,99,2,16,1.89,1,283,yes,101
20984,Manhattan,Washington Heights,Shared room,125,2,13,1.72,1,126,yes,135
20985,Brooklyn,Crown Heights,Entire home/apt,115,3,34,4.43,4,249,yes,113
20986,Manhattan,Hell's Kitchen,Entire home/apt,321,30,0,,18,365,yes,308
20987,Brooklyn,Other,Entire home/apt,170,2,2,0.06,1,64,yes,171
20988,Manhattan,Other,Entire home/apt,125,2,27,1.0,2,0,no,108
20989,Brooklyn,Williamsburg,Entire home/apt,85,2,86,0.89,2,15,yes,85
20990,Manhattan,Midtown,Entire home/apt,136,30,9,0.17,14,220,yes,128
20991,Queens,Other,Entire home/apt,115,2,16,4.36,2,34,yes,114
20992,Queens,Other,Private room,36,1,2,1.76,2,62,yes,34
20993,Brooklyn,Fort Greene,Entire home/apt,100,3,26,0.76,1,0,no,81
20994,Brooklyn,Bedford-Stuyvesant,Entire home/apt,85,10,4,0.08,1,0,no,74
20995,Queens,Long Island City,Private room,89,1,0,,8,298,yes,87
20996,Brooklyn,Williamsburg,Entire home/apt,225,2,0,,1,0,no,226
20997,Brooklyn,Other,Entire home/apt,265,2,20,0.79,1,41,yes,258
20998,Queens,Other,Private room,50,1,0,,1,188,yes,54
20999,Manhattan,Upper West Side,Entire home/apt,137,3,8,1.21,2,0,no,137
21000,Brooklyn,Clinton Hill,Private room,65,3,4,0.62,1,0,no,71
21001,Manhattan,Chelsea,Entire home/apt,100,1,198,5.16,1,269,yes,115
21002,Queens,Other,Entire home/apt,125,1,14,0.33,1,0,no,125
21003,Brooklyn,Bedford-Stuyvesant,Private room,49,1,0,,2,0,no,44
21004,Brooklyn,Fort Greene,Private room,48,30,0,,25,310,yes,31
21005,Manhattan,Other,Private room,55,10,1,0.04,1,0,no,36
21006,Manhattan,Other,Private room,150,1,0,,1,0,no,144
21007,Brooklyn,Other,Entire home/apt,145,4,59,1.24,1,157,yes,150
21008,Brooklyn,Other,Entire home/apt,113,3,24,2.22,2,96,yes,99
21009,Manhattan,Hell's Kitchen,Private room,110,1,21,3.18,12,256,yes,110
21010,Bronx,Other,Private room,45,1,10,4.92,2,352,yes,42
21011,Brooklyn,Other,Entire home/apt,82,6,5,1.25,1,42,yes,87
21012,Manhattan,Harlem,Private room,89,1,19,0.44,3,0,no,100
21013,Brooklyn,Bushwick,Private room,50,1,3,0.25,2,250,yes,55
21014,Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,3,115,2.61,1,243,yes,196
21015,Manhattan,Midtown,Entire home/apt,140,30,14,0.39,5,75,yes,133
21016,Brooklyn,Williamsburg,Entire home/apt,350,5,54,1.38,1,274,yes,347
21017,Brooklyn,Greenpoint,Private room,46,3,7,0.4,5,285,yes,29
21018,Brooklyn,Other,Entire home/apt,90,5,18,0.87,1,2,yes,104
21019,Manhattan,Midtown,Entire home/apt,140,30,2,0.26,96,311,yes,130
21020,Manhattan,East Village,Private room,180,3,0,,1,91,yes,170
21021,Manhattan,Upper West Side,Entire home/apt,219,4,30,1.29,1,45,yes,214
21022,Manhattan,Harlem,Private room,95,5,206,2.89,1,252,yes,111
21023,Manhattan,Chelsea,Entire home/apt,495,5,8,0.16,1,0,no,486
21024,Brooklyn,Clinton Hill,Entire home/apt,650,5,0,,3,365,yes,660
21025,Manhattan,Upper West Side,Private room,180,2,1,1.0,1,342,yes,173
21026,Manhattan,Washington Heights,Entire home/apt,165,4,1,0.03,1,0,no,161
21027,Manhattan,Chelsea,Entire home/apt,135,6,42,0.49,1,170,yes,139
21028,Brooklyn,Bedford-Stuyvesant,Private room,38,30,5,0.15,4,0,no,35
21029,Manhattan,Other,Entire home/apt,95,2,2,0.18,1,0,no,109
21030,Manhattan,Lower East Side,Entire home/apt,585,2,1,1.0,1,97,yes,578
21031,Brooklyn,Williamsburg,Entire home/apt,250,2,53,1.68,1,2,yes,241
21032,Brooklyn,Bedford-Stuyvesant,Entire home/apt,116,2,4,4.0,2,156,yes,119
21033,Brooklyn,Bushwick,Private room,50,15,0,,1,0,no,53
21034,Manhattan,East Village,Private room,90,1,109,1.15,1,333,yes,88
21035,Manhattan,Upper East Side,Entire home/apt,299,7,0,,1,15,yes,319
21036,Manhattan,Other,Entire home/apt,189,4,25,0.48,1,191,yes,188
21037,Brooklyn,Bedford-Stuyvesant,Private room,41,7,9,0.28,1,0,no,47
21038,Brooklyn,Bushwick,Private room,55,3,55,3.4,4,329,yes,56
21039,Manhattan,Other,Private room,75,1,0,,1,0,no,80
21040,Brooklyn,Williamsburg,Entire home/apt,140,1,66,1.35,1,5,yes,147
21041,Brooklyn,Crown Heights,Private room,60,1,1,0.16,1,0,no,66
21042,Brooklyn,Prospect-Lefferts Gardens,Private room,35,1,45,2.42,2,52,yes,33
21043,Manhattan,West Village,Entire home/apt,250,2,5,0.63,1,0,no,227
21044,Brooklyn,Prospect-Lefferts Gardens,Private room,100,2,13,0.36,1,365,yes,110
21045,Brooklyn,Williamsburg,Private room,80,3,6,0.8,1,6,yes,79
21046,Manhattan,Harlem,Entire home/apt,119,7,6,0.43,1,201,yes,119
21047,Brooklyn,Bushwick,Private room,80,1,1,0.16,1,0,no,87
21048,Manhattan,Hell's Kitchen,Private room,150,2,0,,1,0,no,150
21049,Queens,Other,Private room,45,1,9,2.67,2,113,yes,38
21050,Manhattan,Harlem,Private room,38,8,20,0.97,1,26,yes,34
21051,Manhattan,Hell's Kitchen,Entire home/apt,130,30,5,0.22,20,333,yes,134
21052,Manhattan,Upper West Side,Private room,85,3,1,1.0,1,67,yes,85
21053,Manhattan,Harlem,Private room,80,4,68,3.65,2,102,yes,73
21054,Manhattan,Upper West Side,Entire home/apt,150,1,0,,1,0,no,140
21055,Brooklyn,East Flatbush,Private room,39,3,2,0.19,2,0,no,56
21056,Brooklyn,Bushwick,Private room,45,3,101,2.89,2,60,yes,47
21057,Brooklyn,Flatbush,Private room,35,4,2,0.06,1,157,yes,33
21058,Manhattan,Hell's Kitchen,Entire home/apt,250,2,3,3.0,1,212,yes,246
21059,Manhattan,Other,Entire home/apt,200,2,23,0.41,1,0,no,195
21060,Manhattan,East Village,Private room,100,2,0,,1,99,yes,100
21061,Brooklyn,Williamsburg,Entire home/apt,310,4,0,,1,87,yes,308
21062,Brooklyn,East Flatbush,Private room,45,30,0,,43,361,yes,38
21063,Manhattan,Other,Private room,70,2,2,0.11,1,0,no,85
21064,Manhattan,Other,Private room,75,17,17,0.48,1,38,yes,56
21065,Manhattan,Upper East Side,Entire home/apt,289,30,1,0.3,232,235,yes,280
21066,Brooklyn,Williamsburg,Private room,72,30,0,,3,318,yes,83
21067,Brooklyn,Bedford-Stuyvesant,Entire home/apt,265,2,3,0.29,4,114,yes,267
21068,Brooklyn,Bedford-Stuyvesant,Private room,40,1,1,0.02,1,0,no,54
21069,Brooklyn,Williamsburg,Private room,110,2,0,,1,0,no,110
21070,Brooklyn,Clinton Hill,Entire home/apt,750,1,6,0.17,1,365,yes,751
21071,Manhattan,Lower East Side,Entire home/apt,110,8,5,0.07,1,333,yes,122
21072,Manhattan,Financial District,Entire home/apt,214,2,5,1.43,327,268,yes,230
21073,Manhattan,East Village,Private room,50,27,0,,1,0,no,47
21074,Manhattan,East Village,Entire home/apt,220,3,3,0.28,1,25,yes,219
21075,Brooklyn,Bedford-Stuyvesant,Private room,45,2,61,2.4,3,110,yes,44
21076,Manhattan,Upper East Side,Entire home/apt,215,2,1,0.26,2,265,yes,204
21077,Manhattan,Hell's Kitchen,Entire home/apt,170,2,18,0.45,2,63,yes,153
21078,Brooklyn,Bushwick,Entire home/apt,125,2,2,2.0,1,7,yes,121
21079,Manhattan,Chelsea,Entire home/apt,200,2,24,1.14,1,20,yes,205
21080,Bronx,Other,Entire home/apt,105,2,27,2.13,1,328,yes,93
21081,Brooklyn,Williamsburg,Private room,55,2,2,0.75,2,4,yes,48
21082,Manhattan,Other,Private room,109,5,5,0.07,1,22,yes,92
21083,Manhattan,Other,Private room,100,1,1,1.0,9,317,yes,100
21084,Manhattan,Other,Entire home/apt,466,30,0,,232,354,yes,476
21085,Manhattan,Washington Heights,Private room,50,3,1,0.05,1,0,no,47
21086,Queens,Other,Entire home/apt,200,1,7,0.62,2,311,yes,220
21087,Manhattan,Upper West Side,Shared room,70,1,225,3.53,1,262,yes,70
21088,Manhattan,Harlem,Shared room,60,2,1,0.04,2,0,no,65
21089,Brooklyn,Greenpoint,Private room,85,5,45,1.79,5,355,yes,86
21090,Brooklyn,Flatbush,Private room,70,3,121,2.63,1,341,yes,101
21091,Manhattan,Harlem,Entire home/apt,399,5,9,0.25,2,12,yes,399
21092,Manhattan,Hell's Kitchen,Private room,120,1,365,5.81,1,174,yes,130
21093,Brooklyn,Williamsburg,Entire home/apt,180,3,3,0.08,1,0,no,186
21094,Queens,Long Island City,Entire home/apt,100,5,0,,1,0,no,93
21095,Manhattan,Harlem,Entire home/apt,400,5,15,2.88,1,148,yes,401
21096,Brooklyn,Crown Heights,Private room,59,2,0,,1,16,yes,59
21097,Brooklyn,Fort Greene,Private room,115,28,39,1.05,1,3,yes,106
21098,Brooklyn,Other,Private room,50,1,0,,2,0,no,62
21099,Manhattan,Other,Private room,60,1,9,6.28,1,352,yes,57
21100,Manhattan,Midtown,Entire home/apt,550,1,57,1.44,3,267,yes,557
21101,Brooklyn,Clinton Hill,Private room,60,2,15,0.5,1,0,no,33
21102,Brooklyn,Fort Greene,Entire home/apt,130,4,8,0.43,1,0,no,131
21103,Manhattan,Hell's Kitchen,Entire home/apt,165,3,25,0.3,1,0,no,163
21104,Manhattan,East Village,Entire home/apt,150,30,3,0.13,1,0,no,135
21105,Brooklyn,Williamsburg,Entire home/apt,150,5,1,0.02,1,0,no,174
21106,Brooklyn,Flatbush,Private room,62,1,167,4.52,2,48,yes,61
21107,Brooklyn,Greenpoint,Entire home/apt,122,5,3,0.07,1,189,yes,122
21108,Bronx,Other,Private room,100,3,0,,2,365,yes,97
21109,Brooklyn,Greenpoint,Private room,49,3,3,0.1,4,244,yes,49
21110,Manhattan,Upper East Side,Entire home/apt,260,2,8,0.23,1,0,no,278
21111,Manhattan,Other,Entire home/apt,200,3,16,0.6,1,15,yes,187
21112,Brooklyn,Other,Entire home/apt,130,2,35,1.59,2,357,yes,127
21113,Manhattan,West Village,Entire home/apt,215,3,7,0.68,1,0,no,208
21114,Manhattan,Chelsea,Entire home/apt,289,30,2,0.08,87,339,yes,281
21115,Manhattan,Harlem,Private room,80,2,19,1.71,1,0,no,80
21116,Brooklyn,Bedford-Stuyvesant,Entire home/apt,215,1,167,2.86,1,250,yes,207
21117,Brooklyn,Bushwick,Entire home/apt,149,3,70,2.51,3,170,yes,161
21118,Manhattan,Harlem,Entire home/apt,117,28,125,2.77,2,29,yes,125
21119,Manhattan,East Village,Private room,190,2,1,0.02,1,0,no,196
21120,Manhattan,Upper West Side,Shared room,165,3,21,0.29,1,363,yes,160
21121,Manhattan,East Village,Entire home/apt,128,3,3,0.08,1,0,no,121
21122,Manhattan,Midtown,Entire home/apt,400,1,16,1.14,1,47,yes,379
21123,Bronx,Other,Entire home/apt,85,1,1,1.0,1,14,yes,92
21124,Brooklyn,Bushwick,Private room,65,2,1,0.28,1,88,yes,67
21125,Queens,Other,Private room,55,1,77,3.58,6,365,yes,67
21126,Manhattan,East Harlem,Entire home/apt,240,2,5,0.13,1,0,no,241
21127,Brooklyn,Other,Entire home/apt,250,30,13,0.34,1,319,yes,247
21128,Manhattan,Harlem,Entire home/apt,110,3,1,0.02,1,0,no,133
21129,Manhattan,Other,Private room,200,2,3,0.84,1,0,no,203
21130,Brooklyn,Crown Heights,Private room,40,1,0,,1,0,no,53
21131,Manhattan,West Village,Entire home/apt,186,1,197,5.24,3,209,yes,187
21132,Brooklyn,East Flatbush,Entire home/apt,120,2,56,1.82,1,85,yes,108
21133,Queens,Other,Entire home/apt,105,2,47,3.47,3,95,yes,92
21134,Brooklyn,Other,Entire home/apt,210,4,88,4.41,1,20,yes,219
21135,Staten Island,Other,Private room,37,1,7,2.66,3,310,yes,30
21136,Brooklyn,Bedford-Stuyvesant,Entire home/apt,90,2,23,3.65,1,190,yes,83
21137,Manhattan,Other,Entire home/apt,120,30,3,0.22,2,27,yes,122
21138,Brooklyn,Bushwick,Private room,50,20,3,0.13,1,2,yes,62
21139,Brooklyn,Bushwick,Private room,52,18,24,0.49,8,76,yes,41
21140,Manhattan,Lower East Side,Entire home/apt,200,1,1,0.02,1,0,no,211
21141,Manhattan,Upper West Side,Entire home/apt,149,4,15,0.3,1,0,no,157
21142,Bronx,Other,Private room,35,1,5,3.13,1,62,yes,38
21143,Manhattan,East Village,Entire home/apt,499,30,11,0.52,2,332,yes,491
21144,Brooklyn,Greenpoint,Private room,85,2,36,0.45,1,278,yes,84
21145,Brooklyn,Bushwick,Private room,57,1,1,0.12,1,0,no,69
21146,Brooklyn,Bedford-Stuyvesant,Private room,45,3,0,,2,135,yes,38
21147,Manhattan,Other,Private room,100,1,0,,9,317,yes,96
21148,Brooklyn,Other,Private room,159,2,5,0.19,1,363,yes,161
21149,Brooklyn,Clinton Hill,Private room,50,1,1,0.02,1,0,no,68
21150,Brooklyn,Crown Heights,Entire home/apt,120,4,3,0.47,1,7,yes,100
21151,Brooklyn,Bedford-Stuyvesant,Private room,55,2,23,2.96,3,322,yes,51
21152,Manhattan,East Village,Private room,78,1,8,0.35,2,0,no,84
21153,Brooklyn,Williamsburg,Private room,100,1,0,,2,0,no,105
21154,Brooklyn,Other,Private room,46,1,0,,1,0,no,42
21155,Manhattan,Upper East Side,Entire home/apt,155,2,8,3.38,1,0,no,136
21156,Brooklyn,Williamsburg,Private room,62,3,47,1.14,1,24,yes,52
21157,Manhattan,West Village,Entire home/apt,225,7,10,0.78,1,279,yes,220
21158,Manhattan,West Village,Entire home/apt,196,15,2,0.05,1,31,yes,183
21159,Brooklyn,Williamsburg,Entire home/apt,225,1,6,0.28,1,89,yes,241
21160,Manhattan,Upper East Side,Entire home/apt,320,30,9,0.19,1,215,yes,330
21161,Bronx,Other,Private room,55,1,10,5.26,1,310,yes,56
21162,Queens,Other,Entire home/apt,95,1,0,,1,0,no,82
21163,Manhattan,Hell's Kitchen,Entire home/apt,200,30,1,0.07,31,330,yes,201
21164,Brooklyn,Bushwick,Entire home/apt,85,25,2,0.04,1,0,no,86
21165,Brooklyn,Williamsburg,Private room,85,2,26,0.8,1,221,yes,90
21166,Queens,Other,Private room,55,4,19,2.13,1,89,yes,43
21167,Queens,Astoria,Private room,39,1,4,0.17,4,136,yes,34
21168,Queens,Other,Private room,49,15,0,,2,27,yes,38
21169,Manhattan,East Harlem,Entire home/apt,100,1,54,0.75,1,0,no,103
21170,Manhattan,East Village,Entire home/apt,325,5,44,2.77,1,179,yes,327
21171,Brooklyn,Bedford-Stuyvesant,Private room,62,1,0,,1,0,no,70
21172,Manhattan,Hell's Kitchen,Entire home/apt,299,1,13,5.91,4,0,no,293
21173,Brooklyn,Williamsburg,Private room,100,5,3,0.16,1,0,no,98
21174,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,1,36,4.62,1,334,yes,108
21175,Manhattan,Washington Heights,Entire home/apt,750,1,1,1.0,5,364,yes,752
21176,Brooklyn,Other,Private room,80,7,57,4.49,2,285,yes,76
21177,Brooklyn,Crown Heights,Private room,60,10,2,0.1,1,0,no,60
21178,Brooklyn,Bedford-Stuyvesant,Private room,150,1,0,,1,0,no,147
21179,Manhattan,East Village,Entire home/apt,175,3,7,0.3,1,0,no,197
21180,Queens,Other,Private room,60,7,30,1.1,5,169,yes,46
21181,Bronx,Other,Entire home/apt,450,2,81,2.07,4,342,yes,448
21182,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,1,4,0.17,1,0,no,133
21183,Bronx,Other,Private room,95,3,5,0.96,1,49,yes,101
21184,Manhattan,Harlem,Private room,65,2,103,5.89,2,0,no,70
21185,Queens,Other,Entire home/apt,85,2,74,2.08,1,52,yes,89
21186,Brooklyn,Other,Private room,145,4,0,,1,0,no,152
21187,Manhattan,Upper West Side,Entire home/apt,179,1,0,,1,0,no,184
21188,Brooklyn,Bedford-Stuyvesant,Entire home/apt,83,30,1,0.81,3,349,yes,79
21189,Brooklyn,Greenpoint,Entire home/apt,130,5,4,0.05,1,0,no,128
21190,Manhattan,Upper East Side,Private room,90,8,0,,2,77,yes,86
21191,Brooklyn,Crown Heights,Private room,43,3,10,0.25,2,305,yes,40
21192,Manhattan,Upper West Side,Entire home/apt,270,2,8,0.43,1,0,no,265
21193,Manhattan,Lower East Side,Entire home/apt,250,13,9,0.21,1,44,yes,264
21194,Manhattan,Chelsea,Entire home/apt,500,3,4,4.0,1,313,yes,494
21195,Brooklyn,Bedford-Stuyvesant,Entire home/apt,140,3,12,2.25,1,66,yes,144
21196,Brooklyn,Bushwick,Entire home/apt,159,3,11,0.2,4,77,yes,162
21197,Staten Island,Other,Entire home/apt,180,1,136,4.81,1,136,yes,176
21198,Queens,Other,Private room,37,30,10,0.33,2,363,yes,42
21199,Queens,Astoria,Private room,89,2,53,1.33,1,39,yes,88
21200,Brooklyn,Bushwick,Private room,58,5,1,0.09,1,17,yes,68
21201,Brooklyn,Fort Greene,Entire home/apt,160,2,12,3.13,1,71,yes,149
21202,Brooklyn,Williamsburg,Private room,70,2,31,0.44,2,20,yes,62
